written by TR 
1.000000000 
14.939264800 0.000000000 0.000000000 
0.000000000 25.875565600 0.000000000 
0.000000000 0.000000000 18.400000000 
Type1 
296
Cartesian 
1.00908000 12.24020000 7.48310000 
1.61434000 10.95780000 7.48130000 
0.80697300 9.79181000 7.49295000 
1.41285000 8.50950000 7.49126000 
0.60683300 7.34302000 7.49295000 
1.21292000 6.06082000 7.48130000 
0.40671000 4.89478000 7.46622000 
1.01206000 3.61248000 7.44740000 
0.20437300 2.44736000 7.42835000 
0.80879300 1.16466000 7.41691000 
-0.00000009 0.00000003 7.41074000 
3.83510000 12.00800000 7.44740000 
3.02727000 10.84260000 7.46622000 
3.63206000 9.55979000 7.46819000 
2.82600000 8.39351000 7.48487000 
3.43125000 7.11059000 7.48538000 
2.62613000 5.94381000 7.48310000 
3.23130000 4.66090000 7.47527000 
2.42512000 3.49486000 7.45525000 
3.02970000 2.21198000 7.44773000 
2.22177000 1.04685000 7.42825000 
5.24797000 11.89110000 7.42835000 
5.85229000 10.60820000 7.43349000 
5.04504000 9.44286000 7.45542000 
5.65000000 8.16011000 7.46837000 
4.84438000 6.99371000 7.48266000 
5.44985000 5.71094000 7.48986000 
4.64437000 4.54428000 7.48367000 
5.24963000 3.26153000 7.48332000 
4.44259000 2.09563000 7.46548000 
5.04741000 0.81298800 7.46837000 
8.07386000 11.65500000 7.41691000 
7.26534000 10.49030000 7.42825000 
7.87041000 9.20799000 7.44773000 
7.06321000 8.04258000 7.46548000 
7.66938000 6.76071000 7.48332000 
6.86314000 5.59450000 7.49095000 
7.46963000 4.31259000 7.49675000 
6.66272000 3.14640000 7.49095000 
7.26852000 1.86424000 7.48986000 
6.46034000 0.69850200 7.48266000 
10.29570000 12.70190000 7.43349000 
9.48692000 11.53710000 7.42835000 
10.09210000 10.25510000 7.44740000 
9.28370000 9.09013000 7.45525000 
9.89044000 7.80895000 7.47527000 
9.08291000 6.64350000 7.48367000 
9.69053000 5.36260000 7.48986000 
8.88304000 4.19688000 7.49095000 
9.48989000 2.91555000 7.48332000 
8.68162000 1.75000000 7.48367000 
9.28716000 0.46793400 7.47527000 
11.70860000 12.58550000 7.45542000 
12.31380000 11.30330000 7.46819000 
11.50530000 10.13820000 7.46622000 
12.11200000 8.85695000 7.48130000 
11.30410000 7.69158000 7.48310000 
11.91200000 6.41094000 7.48538000 
11.10420000 5.24557000 7.48266000 
11.71150000 3.96469000 7.46837000 
10.90310000 2.79958000 7.46548000 
11.50880000 1.51781000 7.44773000 
10.70010000 0.35279100 7.45525000 
14.53530000 12.35400000 7.48538000 
13.72690000 11.18840000 7.48487000 
14.33300000 9.90660000 7.49126000 
13.52550000 8.74074000 7.49295000 
14.13270000 7.45947000 7.49126000 
13.32560000 6.29364000 7.48487000 
13.93260000 5.01243000 7.46819000 
13.12490000 3.84722000 7.45542000 
13.73050000 2.56543000 7.43349000 
12.92180000 1.40068000 7.42825000 
13.52620000 0.11810300 7.41691000 
-0.00000007 8.62519000 10.90330000 
0.19975100 6.17707000 10.91670000 
0.40078200 3.72979000 10.95230000 
0.60423200 1.28277000 10.98310000 
-0.00000009 -0.00000002 10.98930000 
1.81752000 12.46980000 10.92470000 
1.21199000 11.18780000 10.91630000 
2.02026000 10.02220000 10.91670000 
1.41341000 8.74090000 10.90910000 
2.22089000 7.57518000 10.91010000 
1.61328000 6.29428000 10.91630000 
2.42081000 5.12884000 10.92470000 
1.81407000 3.84765000 10.94470000 
2.62247000 2.68271000 10.95260000 
2.01729000 1.40067000 10.97170000 
2.82611000 0.23589400 10.96650000 
3.23044000 12.58500000 10.94470000 
4.03915000 11.42000000 10.95230000 
3.43347000 10.13820000 10.93450000 
4.24186000 8.97309000 10.93160000 
3.63454000 7.69221000 10.91730000 
4.44233000 6.52684000 10.91460000 
3.83442000 5.24620000 10.91690000 
4.64237000 4.08083000 10.91870000 
4.03565000 2.79961000 10.93380000 
4.84422000 1.63443000 10.93180000 
4.23899000 0.35229200 10.94460000 
6.05661000 12.81970000 10.98310000 
5.45215000 11.53710000 10.97180000 
6.26087000 10.37240000 10.96650000 
5.65523000 9.09056000 10.94460000 
6.46299000 7.92535000 10.93180000 
5.85600000 6.64414000 10.91510000 
6.66302000 5.47832000 10.90870000 
6.05583000 4.19704000 10.90710000 
6.86340000 3.03119000 10.90870000 
6.25727000 1.74937000 10.91510000 
7.06569000 0.58374900 10.91460000 
8.27842000 11.77310000 10.98310000 
7.67401000 10.49040000 10.97170000 
8.48169000 9.32530000 10.95260000 
7.87634000 8.04300000 10.93380000 
8.68255000 6.87696000 10.91870000 
8.07647000 5.59476000 10.90710000 
8.88248000 4.42828000 10.90870000 
8.27661000 3.14598000 10.90710000 
9.08398000 1.97999000 10.91870000 
8.47871000 0.69760600 10.91690000 
9.69140000 11.89090000 10.97180000 
10.49930000 10.72580000 10.95230000 
9.89476000 9.44293000 10.94470000 
10.70090000 8.27688000 10.92470000 
10.09580000 6.99398000 10.91690000 
10.90090000 5.82719000 10.91460000 
10.29560000 4.54427000 10.91510000 
11.10170000 3.37800000 10.93180000 
10.49690000 2.09517000 10.93380000 
11.30470000 0.92977100 10.95260000 
12.51700000 12.12480000 10.93160000 
11.91220000 10.84220000 10.93450000 
12.71930000 9.67626000 10.91670000 
12.11400000 8.39350000 10.91630000 
12.91950000 7.22684000 10.91010000 
12.31400000 5.94407000 10.91730000 
13.11960000 4.77768000 10.93160000 
12.51470000 3.49493000 10.94460000 
13.32190000 2.32953000 10.96650000 
12.71760000 1.04669000 10.97170000 
