written by TR 
1.000000000 
278.634255000 0.000000000 0.000000000 
0.000000000 482.608687000 0.000000000 
0.000000000 0.000000000 15.000000000 
Type1 
102968
Cartesian 
0.87601800 8.57887000 2.90992000 
0.14454100 7.36465000 2.90615000 
0.82980100 6.12354000 2.90292000 
0.09742900 4.90979000 2.89998000 
0.78201000 3.66835000 2.89779000 
0.04905110 2.45491000 2.89599000 
0.73324300 1.21329000 2.89507000 
2.29340000 8.55078000 2.91071000 
2.97869000 7.30961000 2.90768000 
2.24717000 6.09535000 2.90375000 
2.93177000 4.85388000 2.90166000 
2.19937000 3.64011000 2.89866000 
2.88359000 2.39848000 2.89778000 
2.15060000 1.18502000 2.89598000 
5.12644000 8.49683000 2.91417000 
4.39601000 7.28191000 2.90954000 
5.08067000 6.04041000 2.90765000 
4.34910000 4.82611000 2.90370000 
5.03337000 3.58448000 2.90290000 
4.30093000 2.37066000 2.89995000 
4.98511000 1.12903000 2.90039000 
6.54371000 8.46991000 2.91679000 
7.22847000 7.22840000 2.91518000 
6.49796000 6.01342000 2.91059000 
7.18232000 4.77179000 2.90993000 
6.45068000 3.55744000 2.90610000 
7.13493000 2.31583000 2.90654000 
6.40245000 1.10196000 2.90373000 
9.37499000 8.41821000 2.92359000 
8.64570000 7.20245000 2.91869000 
9.33019000 5.96084000 2.91821000 
8.59958000 4.74581000 2.91382000 
9.28395000 3.50424000 2.91427000 
8.55224000 2.28984000 2.91067000 
9.23678000 1.04845000 2.91214000 
0.54129800 8.60591000 6.49005000 
0.58754500 6.15122000 6.49707000 
0.63535500 3.69647000 6.50222000 
0.68414200 1.24165000 6.50494000 
1.95876000 8.63407000 6.48938000 
2.69078000 7.42017000 6.49232000 
2.00497000 6.17945000 6.49627000 
2.73770000 4.96590000 6.49833000 
2.05275000 3.72472000 6.50133000 
2.78591000 2.51139000 6.50222000 
2.10151000 1.26991000 6.50401000 
2.83475000 0.05660790 6.50355000 
4.79519000 8.68804000 6.48583000 
4.10828000 7.44798000 6.49046000 
4.84094000 6.23440000 6.49235000 
4.15514000 4.99374000 6.49627000 
4.88825000 3.78037000 6.49711000 
4.20331000 2.53924000 6.50003000 
4.93653000 1.32590000 6.49961000 
4.25212000 0.08444870 6.50132000 
6.21279000 8.71515000 6.48310000 
6.94535000 7.50151000 6.48478000 
6.25847000 6.26152000 6.48933000 
6.99150000 5.04809000 6.49011000 
6.30571000 3.80747000 6.49389000 
7.03889000 2.59407000 6.49353000 
6.35393000 1.35298000 6.49628000 
7.08692000 0.13943300 6.49467000 
9.05114000 8.76682000 6.47625000 
8.36297000 7.52762000 6.48107000 
9.09589000 6.31409000 6.48184000 
8.40903000 5.07416000 6.48612000 
9.14213000 3.86067000 6.48587000 
8.45634000 2.62011000 6.48936000 
9.18930000 1.40648000 6.48795000 
8.50429000 0.16543400 6.49046000 
10.79220000 8.39354000 2.92735000 
11.47690000 7.15199000 2.92709000 
10.74740000 5.93617000 2.92245000 
11.43200000 4.69467000 2.92294000 
10.70120000 3.47959000 2.91885000 
11.38590000 2.23827000 2.92017000 
10.65410000 1.02380000 2.91689000 
13.62220000 8.34546000 2.93606000 
12.89400000 7.12878000 2.93139000 
13.57880000 5.88738000 2.93201000 
12.84920000 4.67153000 2.92767000 
13.53400000 3.43030000 2.92891000 
12.80320000 2.21517000 2.92516000 
13.48840000 0.97426100 2.92710000 
15.03930000 8.32383000 2.94025000 
15.72440000 7.08256000 2.94105000 
14.99590000 5.86587000 2.93667000 
15.68110000 4.62477000 2.93791000 
14.95130000 3.40888000 2.93390000 
15.63670000 2.16809000 2.93561000 
14.90570000 0.95288700 2.93225000 
17.86860000 8.28032000 2.94976000 
17.14150000 7.06275000 2.94548000 
17.82690000 5.82182000 2.94676000 
17.09830000 4.60512000 2.94269000 
17.78400000 3.36447000 2.94423000 
17.05400000 2.14853000 2.94061000 
17.74020000 0.90828500 2.94248000 
10.46890000 8.79172000 6.47216000 
11.20160000 7.57806000 6.47297000 
10.51350000 6.33890000 6.47742000 
11.24650000 5.12530000 6.47735000 
10.55960000 3.88540000 6.48121000 
11.29260000 2.67168000 6.48007000 
10.60670000 1.43117000 6.48315000 
11.33920000 0.21716300 6.48090000 
13.30880000 8.83975000 6.46399000 
12.61930000 7.60142000 6.46840000 
13.35220000 6.38766000 6.46855000 
12.66410000 5.14852000 6.47252000 
13.39690000 3.93467000 6.47170000 
12.71000000 2.69482000 6.47505000 
13.44250000 1.48071000 6.47316000 
12.75660000 0.24026600 6.47581000 
14.72660000 8.86157000 6.45944000 
15.45920000 7.64761000 6.45985000 
14.76990000 6.40926000 6.46374000 
15.50250000 5.19524000 6.46328000 
14.81450000 3.95612000 6.46668000 
15.54690000 2.74187000 6.46520000 
14.85990000 1.50207000 6.46802000 
15.59180000 0.28743500 6.46554000 
17.56760000 8.90508000 6.45152000 
16.87700000 7.66756000 6.45519000 
17.60930000 6.45332000 6.45512000 
16.92010000 5.21495000 6.45841000 
17.65240000 4.00053000 6.45739000 
16.96440000 2.76144000 6.46019000 
17.69620000 1.54667000 6.45817000 
17.00920000 0.30695300 6.46048000 
19.28570000 8.26220000 2.95376000 
19.97150000 7.02148000 2.95507000 
19.24400000 5.80394000 2.95113000 
19.93010000 4.56348000 2.95254000 
19.20120000 3.34676000 2.94886000 
19.88760000 2.10666000 2.95042000 
19.15750000 0.89067400 2.94724000 
22.11490000 8.22372000 2.96248000 
21.38860000 7.00533000 2.95882000 
22.07510000 5.76508000 2.96012000 
21.34720000 4.54757000 2.95659000 
22.03400000 3.30765000 2.95791000 
21.30490000 2.09091000 2.95469000 
21.99220000 0.85142100 2.95613000 
23.53190000 8.20923000 2.96543000 
24.21880000 6.96924000 2.96661000 
23.49210000 5.75091000 2.96340000 
24.17930000 4.51120000 2.96454000 
23.45120000 3.29370000 2.96150000 
24.13880000 2.05437000 2.96266000 
23.40950000 0.83758500 2.95998000 
26.36140000 8.17581000 2.97167000 
25.63590000 6.95669000 2.96893000 
26.32350000 5.71722000 2.96986000 
25.59640000 4.49895000 2.96724000 
26.28440000 3.25982000 2.96818000 
25.55600000 2.04231000 2.96577000 
26.24450000 0.80360000 2.96683000 
27.77840000 8.16477000 2.97275000 
27.74050000 5.70655000 2.97139000 
27.70150000 3.24941000 2.97027000 
27.66180000 0.79333700 2.96954000 
18.98550000 8.92333000 6.44713000 
19.71760000 7.70884000 6.44747000 
19.02710000 6.47126000 6.45054000 
19.75910000 5.25663000 6.45000000 
19.06990000 4.01827000 6.45266000 
19.80160000 2.80334000 6.45115000 
19.11360000 1.56430000 6.45337000 
19.84470000 0.34892000 6.45094000 
21.82720000 8.96183000 6.44038000 
21.13540000 7.72503000 6.44320000 
21.86710000 6.51014000 6.44313000 
21.17680000 5.27253000 6.44562000 
21.90830000 4.05740000 6.44465000 
21.21910000 2.81907000 6.44673000 
21.95020000 1.60355000 6.44484000 
21.26200000 0.36459800 6.44654000 
23.24510000 8.97635000 6.43627000 
23.97640000 7.76118000 6.43655000 
23.28490000 6.52431000 6.43896000 
24.01610000 5.30894000 6.43847000 
23.32580000 4.07132000 6.44052000 
24.05680000 2.85563000 6.43918000 
23.36760000 1.61735000 6.44082000 
24.09780000 0.40119200 6.43871000 
26.08700000 9.00984000 6.42995000 
25.39430000 7.77370000 6.43236000 
26.12520000 6.55807000 6.43224000 
25.43380000 5.32116000 6.43440000 
26.16450000 4.10527000 6.43360000 
25.47420000 2.86766000 6.43535000 
26.20440000 1.65137000 6.43387000 
25.51520000 0.41316800 6.43522000 
27.50500000 9.02081000 6.42552000 
27.54290000 6.56868000 6.42801000 
27.58200000 4.11563000 6.42975000 
27.62180000 1.66162000 6.43055000 
28.46650000 6.92557000 2.97337000 
28.42890000 4.46764000 2.97210000 
28.39030000 2.01086000 2.97116000 
30.60850000 8.13608000 2.97461000 
29.88360000 6.91632000 2.97343000 
30.57240000 5.67766000 2.97387000 
29.84600000 4.45871000 2.97288000 
30.53510000 3.22037000 2.97365000 
29.80750000 2.00216000 2.97279000 
30.49720000 0.76422100 2.97399000 
32.02550000 8.12812000 2.97304000 
32.71480000 6.88972000 2.97314000 
31.98940000 5.67008000 2.97312000 
32.67900000 4.43195000 2.97381000 
31.95230000 3.21307000 2.97396000 
32.64220000 1.97528000 2.97529000 
31.91440000 0.75707800 2.97552000 
34.85620000 8.10362000 2.96978000 
34.13180000 6.88332000 2.97074000 
34.82180000 5.64542000 2.97131000 
34.09600000 4.42588000 2.97263000 
34.78630000 3.18827000 2.97412000 
34.05940000 1.96944000 2.97557000 
34.75010000 0.73219400 2.97795000 
36.27320000 8.09826000 2.96568000 
36.96360000 6.86059000 2.96600000 
36.23880000 5.64043000 2.96851000 
36.92940000 4.40300000 2.97012000 
36.20340000 3.18355000 2.97296000 
36.89440000 1.94644000 2.97576000 
36.16730000 0.72763200 2.97861000 
28.23550000 7.80490000 6.42562000 
28.27340000 5.35256000 6.42768000 
28.31210000 2.89917000 6.42892000 
28.35130000 0.44468800 6.42926000 
30.34700000 9.04961000 6.41825000 
29.65330000 7.81405000 6.42096000 
30.38340000 6.59766000 6.42094000 
29.69100000 5.36139000 6.42354000 
30.42090000 4.14474000 6.42331000 
29.72960000 2.90783000 6.42551000 
30.45890000 1.69078000 6.42502000 
29.76860000 0.45331100 6.42672000 
31.76490000 9.05745000 6.41284000 
32.49450000 7.84079000 6.41288000 
31.80110000 6.60514000 6.41616000 
32.53070000 5.38828000 6.41636000 
