written by TR 
1.000000000 
70.200368300 0.000000000 0.000000000 
35.100184150 60.795302303 0.000000000 
0.000000000 0.000000000 15.000000000 
Type1 
3268
Cartesian 
0.73659600 1.21148000 2.89390000 
-0.00000430 -0.00000828 2.89274000 
2.94383000 4.84747000 2.90764000 
2.20900000 3.63495000 2.90202000 
2.89007000 2.39134000 2.90018000 
2.15406000 1.17947000 2.89613000 
5.14546000 8.48689000 2.92270000 
4.41295000 7.27302000 2.91842000 
5.09485000 6.02967000 2.91636000 
4.36122000 4.81639000 2.91097000 
5.04247000 3.57282000 2.90974000 
4.30749000 2.36027000 2.90457000 
4.98852000 1.11670000 2.90539000 
7.29469000 9.67101000 2.92785000 
6.56282000 8.45673000 2.92478000 
7.24498000 7.21347000 2.92383000 
6.51221000 5.99964000 2.91967000 
7.19383000 4.75622000 2.91904000 
6.45985000 3.54302000 2.91439000 
7.14117000 2.29958000 2.91493000 
6.40596000 1.08706000 2.91096000 
8.71207000 9.64141000 2.92972000 
9.39466000 8.39836000 2.92955000 
8.66235000 7.18425000 2.92644000 
9.34453000 5.94110000 2.92624000 
8.61120000 4.72748000 2.92268000 
9.29303000 3.48429000 2.92298000 
8.55859000 2.27124000 2.91957000 
9.24042000 1.02819000 2.92094000 
-0.00000878 0.00000281 6.50726000 
2.77986000 2.51895000 6.49983000 
2.09836000 1.27568000 6.50387000 
2.83497000 0.06416610 6.50281000 
4.82766000 6.24623000 6.48372000 
4.14377000 5.00434000 6.48901000 
4.87999000 3.79266000 6.49031000 
4.19742000 2.55006000 6.49541000 
4.93393000 1.33845000 6.49463000 
4.25245000 0.09521760 6.49798000 
6.88063000 9.97081000 6.47254000 
6.19494000 8.72994000 6.47535000 
6.93023000 7.51776000 6.47650000 
6.24540000 6.27644000 6.48035000 
6.98128000 5.06452000 6.48111000 
6.29764000 3.82256000 6.48554000 
7.03389000 2.61076000 6.48510000 
6.35147000 1.36812000 6.48900000 
7.08753000 0.15611200 6.48670000 
8.29848000 10.00070000 6.47084000 
9.03338000 8.78827000 6.47130000 
8.34802000 7.54724000 6.47374000 
9.08337000 6.33497000 6.47408000 
8.39898000 5.09344000 6.47718000 
9.13478000 3.88132000 6.47701000 
8.45149000 2.63919000 6.48025000 
9.18736000 1.42700000 6.47902000 
8.50502000 0.18432100 6.48158000 
11.54410000 9.58387000 2.93463000 
10.81210000 8.36961000 2.93172000 
11.49490000 7.12681000 2.93175000 
10.76190000 5.91300000 2.92877000 
11.44440000 4.67014000 2.92886000 
10.71040000 3.45680000 2.92610000 
11.39270000 2.21396000 2.92672000 
10.65790000 1.00105000 2.92459000 
12.96160000 9.55552000 2.93706000 
13.64510000 8.31306000 2.93721000 
12.91240000 7.09910000 2.93388000 
13.59560000 5.85660000 2.93379000 
12.86190000 4.64311000 2.93095000 
13.54470000 3.40054000 2.93107000 
12.81020000 2.18743000 2.92903000 
13.49280000 0.94486700 2.92977000 
15.79480000 9.50017000 2.94411000 
15.06260000 8.28586000 2.93979000 
15.74640000 7.04369000 2.93964000 
15.01310000 5.82999000 2.93587000 
15.69640000 4.58771000 2.93567000 
14.96220000 3.37445000 2.93290000 
15.64520000 2.13206000 2.93318000 
14.91030000 0.91906000 2.93166000 
17.21220000 9.47395000 2.94757000 
17.89650000 8.23202000 2.94756000 
17.16390000 7.01786000 2.94251000 
17.84780000 5.77585000 2.94220000 
17.11390000 4.56230000 2.93803000 
17.79730000 3.32012000 2.93803000 
17.06270000 2.10695000 2.93529000 
17.74560000 0.86462400 2.93615000 
20.04560000 9.42243000 2.95732000 
19.31400000 8.20753000 2.95138000 
19.99830000 6.96573000 2.95121000 
19.26530000 5.75163000 2.94563000 
19.94900000 4.50966000 2.94546000 
19.21480000 3.29614000 2.94109000 
19.89800000 2.05398000 2.94164000 
19.16310000 0.84075500 2.93906000 
11.13690000 10.05820000 6.46690000 
10.45120000 8.81734000 6.46880000 
11.18590000 7.60467000 6.46881000 
10.50110000 6.36333000 6.47099000 
11.23630000 5.15080000 6.47098000 
10.55240000 3.90897000 6.47339000 
11.28790000 2.69651000 6.47297000 
10.60490000 1.45419000 6.47516000 
11.34030000 0.24161100 6.47394000 
12.55470000 10.08700000 6.46379000 
13.28880000 8.87390000 6.46360000 
12.60360000 7.63273000 6.46579000 
13.33810000 6.41977000 6.46582000 
12.65390000 5.17809000 6.46802000 
13.38880000 3.96527000 6.46810000 
12.70540000 2.72316000 6.47013000 
13.44060000 1.51041000 6.46983000 
12.75780000 0.26798500 6.47133000 
15.39240000 10.14230000 6.45683000 
14.70650000 8.90152000 6.45978000 
15.44040000 7.68818000 6.45986000 
14.75580000 6.44671000 6.46258000 
15.49010000 5.23354000 6.46293000 
14.80640000 3.99157000 6.46540000 
15.54120000 2.77857000 6.46567000 
14.85810000 1.53628000 6.46761000 
15.59320000 0.32336000 6.46722000 
16.81010000 10.16910000 6.45188000 
17.54360000 8.95543000 6.45216000 
16.85810000 7.71442000 6.45571000 
17.59200000 6.50091000 6.45628000 
16.90770000 5.25924000 6.45958000 
17.64220000 4.04595000 6.46019000 
16.95870000 2.80383000 6.46299000 
17.69360000 1.59074000 6.46306000 
17.01070000 0.34840800 6.46500000 
18.96130000 8.98042000 6.44714000 
19.69480000 7.76662000 6.44800000 
19.00960000 6.52550000 6.45201000 
19.74370000 5.31193000 6.45290000 
19.05970000 4.07017000 6.45661000 
19.79440000 2.85683000 6.45702000 
19.11110000 1.61468000 6.45997000 
19.84610000 0.40150000 6.45918000 
21.46300000 9.39966000 2.96155000 
22.14780000 8.15806000 2.96174000 
21.41580000 6.94317000 2.95544000 
22.09990000 5.70143000 2.95525000 
21.36650000 4.48731000 2.94952000 
22.05000000 3.24536000 2.94971000 
