written by TR 
1.000000000 
95.721004900 0.000000000 0.000000000 
0.000000000 165.793644000 0.000000000 
0.000000000 0.000000000 15.000000000 
Type1 
12152
Cartesian 
0.87336400 8.58019000 2.91532000 
0.14275400 7.36533000 2.91110000 
0.82882200 6.12445000 2.90677000 
0.09704820 4.91022000 2.90229000 
0.78202900 3.66881000 2.89853000 
0.04919670 2.45514000 2.89517000 
0.73341400 1.21336000 2.89334000 
-0.00000118 -0.00000317 2.89240000 
2.29087000 8.55242000 2.91604000 
2.97680000 7.31135000 2.91283000 
2.24631000 6.09634000 2.90793000 
2.93130000 4.85484000 2.90495000 
2.19951000 3.64053000 2.90009000 
2.88378000 2.39873000 2.89854000 
2.15091000 1.18503000 2.89516000 
5.12352000 8.49977000 2.91924000 
4.39421000 7.28401000 2.91493000 
5.07928000 6.04248000 2.91293000 
4.34872000 4.82739000 2.90793000 
5.03314000 3.58563000 2.90681000 
4.30124000 2.37128000 2.90228000 
4.98545000 1.12951000 2.90298000 
6.54089000 8.47333000 2.92150000 
7.22617000 7.23187000 2.92040000 
6.49665000 6.01612000 2.91616000 
7.18137000 4.77447000 2.91546000 
6.45054000 3.55941000 2.91105000 
7.13500000 2.31776000 2.91154000 
6.40293000 1.10340000 2.90791000 
9.37238000 8.42268000 2.92655000 
8.64354000 7.20649000 2.92316000 
9.32872000 5.96507000 2.92272000 
8.59875000 4.74945000 2.91908000 
9.28362000 3.50800000 2.91932000 
8.55243000 2.29304000 2.91598000 
9.23738000 1.05177000 2.91737000 
0.54413600 8.60648000 6.48454000 
0.58868500 6.15164000 6.49319000 
0.63547200 3.69680000 6.50146000 
0.68409000 1.24184000 6.50666000 
-0.00000219 0.00000124 6.50760000 
1.96179000 8.63433000 6.48384000 
2.69330000 7.42003000 6.48707000 
2.00629000 6.17980000 6.49207000 
2.73878000 4.96600000 6.49505000 
2.05304000 3.72510000 6.49991000 
2.78627000 2.51167000 6.50147000 
2.10161000 1.27018000 6.50483000 
2.83502000 0.05679080 6.50396000 
4.79926000 8.68698000 6.48076000 
4.11103000 7.44751000 6.48508000 
4.84342000 6.23366000 6.48717000 
4.15644000 4.99353000 6.49207000 
4.88953000 3.78001000 6.49323000 
4.20385000 2.53916000 6.49771000 
4.93719000 1.32569000 6.49703000 
4.25253000 0.08425030 6.49991000 
6.21709000 8.71363000 6.47880000 
6.94926000 7.49964000 6.48008000 
6.26118000 6.26017000 6.48396000 
6.99399000 5.04646000 6.48468000 
6.30720000 3.80630000 6.48890000 
7.04033000 2.59268000 6.48845000 
6.35475000 1.35183000 6.49205000 
7.08766000 0.13798400 6.48995000 
9.05592000 8.76424000 6.47491000 
8.36709000 7.52522000 6.47737000 
9.09945000 6.31121000 6.47765000 
8.41173000 5.07160000 6.48082000 
9.14449000 3.85772000 6.48052000 
8.45796000 2.61745000 6.48379000 
9.19071000 1.40346000 6.48250000 
8.50518000 0.16260100 6.48508000 
10.78980000 8.39799000 2.92873000 
11.47560000 7.15688000 2.92827000 
10.74610000 5.94094000 2.92529000 
11.43160000 4.69978000 2.92518000 
10.70100000 3.48438000 2.92251000 
11.38640000 2.24329000 2.92322000 
10.65490000 1.02843000 2.92116000 
13.62210000 8.34940000 2.93283000 
12.89300000 7.13330000 2.92993000 
13.57910000 5.89248000 2.92933000 
12.84900000 4.67684000 2.92705000 
13.53480000 3.43601000 2.92713000 
12.80380000 2.22081000 2.92559000 
13.48970000 0.98008900 2.92662000 
15.03960000 8.32620000 2.93405000 
15.72640000 7.08573000 2.93288000 
14.99660000 5.86995000 2.93031000 
15.68300000 4.62941000 2.92977000 
14.95230000 3.41403000 2.92832000 
15.63850000 2.17348000 2.92882000 
14.90720000 0.95840800 2.92834000 
17.87330000 8.27963000 2.93718000 
17.14390000 7.06363000 2.93366000 
17.83090000 5.82339000 2.93253000 
17.10050000 4.60785000 2.93042000 
17.78710000 3.36751000 2.93043000 
17.05600000 2.15228000 2.92979000 
17.74240000 0.91189700 2.93112000 
10.47380000 8.78919000 6.47277000 
11.20560000 7.57482000 6.47254000 
10.51720000 6.33553000 6.47455000 
11.24950000 5.12130000 6.47421000 
10.56220000 3.88145000 6.47672000 
11.29460000 2.66722000 6.47605000 
10.60830000 1.42683000 6.47846000 
11.34050000 0.21238900 6.47715000 
13.31210000 8.83779000 6.46861000 
12.62330000 7.59868000 6.46983000 
13.35490000 6.38404000 6.46921000 
12.66720000 5.14443000 6.47108000 
13.39910000 3.92988000 6.47069000 
12.71220000 2.68980000 6.47286000 
13.44420000 1.47521000 6.47241000 
12.75800000 0.23473800 6.47425000 
14.72980000 8.86136000 6.46562000 
15.46080000 7.64630000 6.46455000 
14.77260000 6.40685000 6.46616000 
15.50400000 5.19193000 6.46572000 
14.81670000 3.95203000 6.46785000 
15.54840000 2.73719000 6.46790000 
14.86180000 1.49695000 6.47005000 
15.59340000 0.28206900 6.47012000 
17.56710000 8.90797000 6.45929000 
16.87850000 7.66874000 6.46098000 
17.60930000 6.45345000 6.46032000 
16.92160000 5.21372000 6.46262000 
17.65290000 3.99860000 6.46285000 
16.96590000 2.75850000 6.46548000 
17.69740000 1.54347000 6.46617000 
17.01100000 0.30316000 6.46848000 
18.98480000 8.92975000 6.45497000 
19.02690000 6.47469000 6.45664000 
19.07040000 4.01936000 6.45994000 
19.11500000 1.56393000 6.46408000 
19.29090000 8.25825000 2.93838000 
19.97840000 7.01828000 2.93685000 
19.24840000 5.80244000 2.93343000 
19.93540000 4.56234000 2.93298000 
19.20460000 3.34692000 2.93137000 
19.89130000 2.10668000 2.93243000 
19.15990000 0.89148900 2.93249000 
22.12510000 8.21470000 2.94350000 
21.39590000 6.99836000 2.93860000 
