written by TR 
1.000000000 
48.935453300 0.000000000 0.000000000 
0.000000000 84.758691400 0.000000000 
0.000000000 0.000000000 15.000000000 
Type1 
3176
Cartesian 
0.26989400 9.81948000 2.92918000 
0.94594400 8.57301000 2.92506000 
0.20488700 7.36437000 2.92066000 
0.88044300 6.11764000 2.91552000 
0.13857600 4.90948000 2.90974000 
0.81317200 3.66228000 2.90433000 
0.07014400 2.45476000 2.89914000 
0.74381200 1.20712000 2.89617000 
0.00001415 0.00000361 2.89459000 
3.10346000 9.74278000 2.92947000 
2.36329000 8.53357000 2.92578000 
3.03846000 7.28650000 2.92230000 
2.29774000 6.07762000 2.91693000 
2.97225000 4.83025000 2.91321000 
2.23044000 3.62197000 2.90662000 
2.90418000 2.37430000 2.90435000 
2.16109000 1.16672000 2.89914000 
4.52075000 9.70381000 2.93037000 
5.19571000 8.45654000 2.92826000 
4.45570000 7.24721000 2.92429000 
5.13028000 5.99979000 2.92237000 
4.38946000 4.79087000 2.91686000 
5.06346000 3.54327000 2.91561000 
4.32141000 2.33500000 2.90968000 
4.99513000 1.08740000 2.91066000 
7.35254000 9.62732000 2.93373000 
6.61296000 8.41773000 2.93025000 
7.28785000 7.17044000 2.92965000 
6.54750000 5.96123000 2.92560000 
7.22202000 4.71386000 2.92526000 
6.48068000 3.50512000 2.92051000 
7.15485000 2.25773000 2.92111000 
6.41239000 1.04956000 2.91686000 
8.76980000 9.58877000 2.93657000 
9.44516000 8.34169000 2.93675000 
8.70512000 7.13231000 2.93268000 
9.38031000 5.88528000 2.93295000 
8.63928000 4.67638000 2.92891000 
9.31411000 3.42930000 2.92929000 
8.57211000 2.22084000 2.92561000 
9.24675000 0.97379500 2.92677000 
0.47133300 8.61137000 6.47474000 
0.53684700 6.15671000 6.48439000 
0.60414000 3.70223000 6.49565000 
0.67350300 1.24770000 6.50383000 
0.00001057 -0.00000491 6.50541000 
2.56587000 9.89667000 6.47035000 
1.88884000 8.65090000 6.47440000 
2.63085000 7.44283000 6.47763000 
1.95430000 6.19680000 6.48314000 
2.69702000 4.98916000 6.48679000 
2.02153000 3.74259000 6.49338000 
2.76506000 2.53535000 6.49567000 
2.09082000 1.28812000 6.50086000 
2.83461000 0.08095170 6.49947000 
3.98350000 9.93584000 6.46975000 
4.72574000 8.72787000 6.47174000 
4.04843000 7.48234000 6.47571000 
4.79109000 6.27462000 6.47770000 
4.11453000 5.02870000 6.48307000 
4.85783000 3.82129000 6.48448000 
4.18246000 2.57474000 6.49026000 
4.92612000 1.36743000 6.48938000 
4.25191000 0.12021600 6.49338000 
6.82121000 10.01220000 6.46636000 
6.14338000 8.76697000 6.46963000 
6.88579000 7.55905000 6.47053000 
6.20866000 6.31344000 6.47422000 
6.95149000 5.10570000 6.47494000 
6.27531000 3.85961000 6.47934000 
7.01858000 2.65202000 6.47903000 
6.34349000 1.40533000 6.48308000 
7.08670000 0.19761200 6.48072000 
8.23890000 10.05110000 6.46313000 
8.98092000 8.84293000 6.46348000 
8.30337000 7.59752000 6.46701000 
9.04559000 6.38937000 6.46736000 
8.36899000 5.14346000 6.47082000 
9.11165000 3.93546000 6.47097000 
8.43598000 2.68905000 6.47423000 
9.17893000 1.48111000 6.47333000 
8.50402000 0.23429600 6.47571000 
11.60180000 9.51385000 2.94650000 
10.86250000 8.30402000 2.94089000 
11.53830000 7.05730000 2.94156000 
10.79760000 5.84819000 2.93658000 
11.47320000 4.60147000 2.93692000 
10.73140000 3.39286000 2.93271000 
11.40650000 2.14605000 2.93316000 
10.66410000 0.93776800 2.93028000 
13.01910000 9.47722000 2.95231000 
13.69540000 8.23071000 2.95329000 
12.95560000 7.02101000 2.94656000 
13.63170000 5.77457000 2.94702000 
12.89050000 4.56563000 2.94104000 
13.56610000 3.31907000 2.94122000 
12.82390000 2.11061000 2.93668000 
13.49900000 0.86388300 2.93749000 
15.85110000 9.40653000 2.96714000 
15.11270000 8.19593000 2.95952000 
15.78930000 6.94968000 2.96025000 
15.04900000 5.74003000 2.95267000 
15.72510000 4.49370000 2.95286000 
14.98340000 3.28479000 2.94618000 
15.65890000 2.03825000 2.94669000 
14.91630000 0.82975300 2.94205000 
17.26840000 9.37356000 2.97292000 
17.94550000 8.12753000 2.97400000 
17.20650000 6.91698000 2.96638000 
17.88310000 5.67089000 2.96670000 
17.14240000 4.46124000 2.95897000 
17.81820000 3.21493000 2.95916000 
17.07620000 2.00597000 2.95266000 
17.75140000 0.75943100 2.95407000 
19.42290000 10.55350000 2.98338000 
19.36270000 8.09655000 2.97865000 
19.30040000 5.64038000 2.97216000 
19.23560000 3.18478000 2.96513000 
19.16870000 0.72944200 2.96042000 
11.07690000 10.12600000 6.45368000 
10.39850000 8.88104000 6.45857000 
11.14020000 7.67251000 6.45884000 
10.46310000 6.42684000 6.46303000 
11.20510000 5.21840000 6.46350000 
10.52910000 3.97214000 6.46703000 
11.27150000 2.76388000 6.46708000 
10.59630000 1.51723000 6.46963000 
11.33900000 0.30905600 6.46840000 
12.49460000 10.16320000 6.44678000 
13.23580000 8.95437000 6.44720000 
12.55770000 7.70930000 6.45291000 
13.29910000 6.50050000 6.45365000 
12.62250000 5.25460000 6.45868000 
13.36450000 4.04600000 6.45928000 
12.68890000 2.79951000 6.46317000 
13.43140000 1.59114000 6.46269000 
12.75630000 0.34439100 6.46497000 
15.33300000 10.23390000 6.43354000 
14.65340000 8.98981000 6.43975000 
15.39450000 7.78070000 6.44078000 
14.71660000 6.53553000 6.44709000 
15.45820000 5.32662000 6.44808000 
14.78180000 4.08059000 6.45375000 
15.52410000 2.87194000 6.45381000 
14.84870000 1.62538000 6.45792000 
15.59140000 0.41694100 6.45591000 
16.75080000 10.26780000 6.42603000 
17.49140000 9.05833000 6.42741000 
16.81210000 7.81406000 6.43331000 
17.55330000 6.60480000 6.43467000 
16.87560000 5.35953000 6.44104000 
17.61750000 4.15055000 6.44172000 
16.94140000 2.90447000 6.44736000 
17.68390000 1.69574000 6.44620000 
17.00870000 0.44923000 6.44987000 
18.90910000 9.09013000 6.42064000 
18.97080000 6.63593000 6.42757000 
19.03490000 4.18110000 6.43468000 
19.10130000 1.72588000 6.43948000 
20.10080000 9.30779000 2.98478000 
20.04010000 6.85079000 2.97914000 
19.97680000 4.39439000 2.97197000 
19.91110000 1.93850000 2.96550000 
22.25570000 10.48920000 2.99086000 
21.51800000 9.27777000 2.98669000 
22.19640000 8.03252000 2.98730000 
21.45730000 6.82166000 2.98216000 
22.13470000 5.57612000 2.98159000 
21.39420000 4.36597000 2.97595000 
22.07040000 3.12004000 2.97508000 
21.32850000 1.91054000 2.97027000 
22.00390000 0.66432900 2.97075000 
23.67320000 10.45920000 2.99016000 
24.35270000 9.21467000 2.99065000 
23.61370000 8.00378000 2.98730000 
24.29220000 6.75884000 2.98631000 
23.55210000 5.54847000 2.98241000 
24.22920000 4.30301000 2.98036000 
23.48770000 3.09321000 2.97674000 
24.16360000 1.84726000 2.97518000 
23.42130000 0.63788200 2.97326000 
26.50940000 10.39600000 2.99054000 
25.77020000 9.18539000 2.98821000 
26.44980000 7.94110000 2.98662000 
25.70970000 6.73086000 2.98404000 
26.38790000 5.48591000 2.98092000 
25.64660000 4.27610000 2.97852000 
26.32320000 3.03047000 2.97507000 
25.58100000 1.82105000 2.97401000 
26.25660000 0.57496100 2.97200000 
27.92710000 10.36560000 2.98654000 
28.60770000 9.12191000 2.98406000 
27.86740000 7.91194000 2.98210000 
28.54650000 6.66748000 2.97797000 
27.80530000 5.45784000 2.97624000 
28.48270000 4.21253000 2.97128000 
27.74070000 3.00323000 2.97063000 
28.41650000 1.75723000 2.96650000 
27.67400000 0.54812900 2.96814000 
19.58970000 10.33370000 6.41688000 
19.64970000 7.88043000 6.42237000 
19.71210000 5.42652000 6.42896000 
19.77710000 2.97199000 6.43483000 
19.84390000 0.51695500 6.43720000 
21.00740000 10.36470000 6.41187000 
21.74720000 9.15443000 6.41393000 
21.06730000 7.91033000 6.41667000 
21.80790000 6.70038000 6.41876000 
21.12960000 5.45550000 6.42295000 
21.87110000 4.24591000 6.42458000 
21.19450000 3.00026000 6.42895000 
21.93680000 1.79100000 6.42898000 
21.26130000 0.54485100 6.43178000 
23.84480000 10.42820000 6.40996000 
23.16470000 9.18398000 6.41023000 
23.90420000 7.97338000 6.41294000 
23.22530000 6.72868000 6.41485000 
23.96590000 5.51852000 6.41783000 
23.28850000 4.27318000 6.42082000 
24.03020000 3.06351000 6.42326000 
23.35420000 1.81760000 6.42573000 
24.09660000 0.60825400 6.42630000 
25.26230000 10.45810000 6.40807000 
26.00040000 9.24686000 6.41143000 
25.32160000 8.00195000 6.41132000 
26.06100000 6.79121000 6.41545000 
25.38320000 5.54590000 6.41669000 
26.12400000 4.33578000 6.42119000 
25.44760000 3.09000000 6.42280000 
26.18950000 1.88044000 6.42638000 
25.51410000 0.63431900 6.42665000 
28.09620000 10.52170000 6.41309000 
27.41780000 9.27637000 6.41181000 
28.15600000 8.06514000 6.41696000 
27.47830000 6.81962000 6.41676000 
28.21800000 5.60911000 6.42280000 
27.54130000 4.36329000 6.42341000 
28.28260000 3.15353000 6.42938000 
27.60690000 1.90737000 6.42947000 
28.34920000 0.69814800 6.43379000 
30.76580000 10.30080000 2.97979000 
30.02530000 9.09108000 2.97816000 
30.70510000 7.84700000 2.97309000 
