written by TR 
1.000000000 
104.228194000 0.000000000 0.000000000 
52.114097000 90.264263795 0.000000000 
0.000000000 0.000000000 18.400000000 
Type1 
7204
Cartesian 
0.72340500 1.21956000 7.50000000 
0.00000000 0.00000000 7.50000000 
2.89362000 4.87825000 7.50000000 
2.17022000 3.65868000 7.50000000 
2.86468000 2.42242000 7.50000000 
2.14128000 1.20286000 7.50000000 
5.06384000 8.53693000 7.50000000 
4.34043000 7.31737000 7.50000000 
5.03490000 6.08110000 7.50000000 
4.31149000 4.86154000 7.50000000 
5.00596000 3.62527000 7.50000000 
4.28256000 2.40571000 7.50000000 
4.97703000 1.16944000 7.50000000 
6.48171000 8.52022000 7.50000000 
7.17618000 7.28396000 7.50000000 
6.45277000 6.06440000 7.50000000 
7.14724000 4.82813000 7.50000000 
6.42384000 3.60857000 7.50000000 
7.11831000 2.37230000 7.50000000 
6.39490000 1.15274000 7.50000000 
9.31746000 8.48681000 7.50000000 
8.59405000 7.26725000 7.50000000 
9.28852000 6.03098000 7.50000000 
8.56512000 4.81142000 7.50000000 
9.25958000 3.57515000 7.50000000 
8.53618000 2.35559000 7.50000000 
9.23065000 1.11932000 7.50000000 
10.73530000 8.47011000 7.50000000 
11.42980000 7.23384000 7.50000000 
10.70640000 6.01428000 7.50000000 
11.40090000 4.77801000 7.50000000 
10.67750000 3.55845000 7.50000000 
11.37190000 2.32218000 7.50000000 
10.64850000 1.10262000 7.50000000 
13.57110000 8.43669000 7.50000000 
12.84770000 7.21713000 7.50000000 
13.54210000 5.98086000 7.50000000 
12.81870000 4.76130000 7.50000000 
13.51320000 3.52503000 7.50000000 
12.78980000 2.30547000 7.50000000 
13.48430000 1.06920000 7.50000000 
14.98900000 8.41999000 7.50000000 
15.68340000 7.18372000 7.50000000 
14.96000000 5.96416000 7.50000000 
15.65450000 4.72789000 7.50000000 
14.93110000 3.50833000 7.50000000 
15.62550000 2.27206000 7.50000000 
14.90210000 1.05250000 7.50000000 
17.82470000 8.38657000 7.50000000 
17.10130000 7.16701000 7.50000000 
17.79580000 5.93074000 7.50000000 
17.07240000 4.71118000 7.50000000 
17.76680000 3.47492000 7.50000000 
17.04340000 2.25535000 7.50000000 
17.73790000 1.01909000 7.50000000 
19.24260000 8.36987000 7.50000000 
19.93700000 7.13360000 7.50000000 
19.21360000 5.91404000 7.50000000 
19.90810000 4.67777000 7.50000000 
19.18470000 3.45821000 7.50000000 
19.87920000 2.22194000 7.50000000 
19.15580000 1.00238000 7.50000000 
22.07830000 8.33646000 7.50000000 
21.35490000 7.11689000 7.50000000 
22.04940000 5.88063000 7.50000000 
21.32600000 4.66106000 7.50000000 
22.02040000 3.42480000 7.50000000 
21.29700000 2.20523000 7.50000000 
21.99150000 0.96896700 7.50000000 
23.49620000 8.31975000 7.50000000 
24.19070000 7.08348000 7.50000000 
23.46730000 5.86392000 7.50000000 
24.16170000 4.62765000 7.50000000 
23.43830000 3.40809000 7.50000000 
24.13280000 2.17182000 7.50000000 
23.40940000 0.95226000 7.50000000 
26.33190000 8.28634000 7.50000000 
25.60850000 7.06677000 7.50000000 
26.30300000 5.83051000 7.50000000 
25.57960000 4.61095000 7.50000000 
26.27410000 3.37468000 7.50000000 
25.55070000 2.15512000 7.50000000 
26.24510000 0.91884800 7.50000000 
27.74980000 8.26963000 7.50000000 
27.72090000 5.81380000 7.50000000 
28.41530000 4.57753000 7.50000000 
27.69190000 3.35797000 7.50000000 
28.38640000 2.12170000 7.50000000 
27.66300000 0.90214100 7.50000000 
28.44430000 7.03336000 7.50000000 
30.58560000 8.23622000 7.50000000 
29.86220000 7.01666000 7.50000000 
30.55660000 5.78039000 7.50000000 
29.83320000 4.56083000 7.50000000 
30.52770000 3.32456000 7.50000000 
29.80430000 2.10500000 7.50000000 
30.49880000 0.86872900 7.50000000 
32.00340000 8.21951000 7.50000000 
32.69790000 6.98324000 7.50000000 
31.97450000 5.76368000 7.50000000 
32.66900000 4.52741000 7.50000000 
31.94560000 3.30785000 7.50000000 
32.64000000 2.07158000 7.50000000 
31.91660000 0.85202200 7.50000000 
34.83920000 8.18610000 7.50000000 
34.11580000 6.96654000 7.50000000 
34.81020000 5.73027000 7.50000000 
34.08680000 4.51071000 7.50000000 
34.78130000 3.27444000 7.50000000 
34.05790000 2.05488000 7.50000000 
34.75240000 0.81861000 7.50000000 
36.25710000 8.16939000 7.50000000 
36.95150000 6.93312000 7.50000000 
36.22810000 5.71356000 7.50000000 
36.92260000 4.47729000 7.50000000 
36.19920000 3.25773000 7.50000000 
36.89370000 2.02147000 7.50000000 
36.17030000 0.80190400 7.50000000 
39.09280000 8.13598000 7.50000000 
38.36940000 6.91642000 7.50000000 
39.06390000 5.68015000 7.50000000 
38.34050000 4.46059000 7.50000000 
39.03490000 3.22432000 7.50000000 
38.31150000 2.00476000 7.50000000 
39.00600000 0.76849100 7.50000000 
40.51070000 8.11927000 7.50000000 
41.20520000 6.88301000 7.50000000 
40.48170000 5.66344000 7.50000000 
41.17620000 4.42718000 7.50000000 
40.45280000 3.20761000 7.50000000 
41.14730000 1.97135000 7.50000000 
40.42390000 0.75178500 7.50000000 
43.34640000 8.08586000 7.50000000 
42.62300000 6.86630000 7.50000000 
43.31750000 5.63003000 7.50000000 
42.59410000 4.41047000 7.50000000 
43.28860000 3.17420000 7.50000000 
42.56520000 1.95464000 7.50000000 
43.25960000 0.71837200 7.50000000 
44.76430000 8.06915000 7.50000000 
45.45880000 6.83289000 7.50000000 
44.73540000 5.61332000 7.50000000 
45.42980000 4.37706000 7.50000000 
44.70640000 3.15750000 7.50000000 
45.40090000 1.92123000 7.50000000 
44.67750000 0.70166600 7.50000000 
46.87660000 6.81618000 7.50000000 
46.84770000 4.36035000 7.50000000 
46.81880000 1.90452000 7.50000000 
47.60010000 8.03574000 7.50000000 
47.57110000 5.57991000 7.50000000 
47.54220000 3.12408000 7.50000000 
47.51320000 0.66825300 7.50000000 
49.01790000 8.01904000 7.50000000 
49.71240000 6.78277000 7.50000000 
48.98900000 5.56321000 7.50000000 
49.68350000 4.32694000 7.50000000 
48.96010000 3.10738000 7.50000000 
49.65450000 1.87111000 7.50000000 
48.93110000 0.65154700 7.50000000 
51.85370000 7.98562000 7.50000000 
51.13030000 6.76606000 7.50000000 
51.82470000 5.52979000 7.50000000 
51.10130000 4.31023000 7.50000000 
51.79580000 3.07396000 7.50000000 
51.07240000 1.85440000 7.50000000 
51.76690000 0.61813400 7.50000000 
53.27150000 7.96892000 7.50000000 
53.96600000 6.73265000 7.50000000 
53.24260000 5.51309000 7.50000000 
53.93710000 4.27682000 7.50000000 
53.21370000 3.05726000 7.50000000 
53.90810000 1.82099000 7.50000000 
53.18470000 0.60142800 7.50000000 
56.10730000 7.93550000 7.50000000 
55.38390000 6.71594000 7.50000000 
56.07840000 5.47967000 7.50000000 
55.35500000 4.26011000 7.50000000 
56.04940000 3.02384000 7.50000000 
55.32600000 1.80428000 7.50000000 
56.02050000 0.56801500 7.50000000 
57.52520000 7.91880000 7.50000000 
58.21960000 6.68253000 7.50000000 
57.49620000 5.46297000 7.50000000 
58.19070000 4.22670000 7.50000000 
57.46730000 3.00714000 7.50000000 
58.16180000 1.77087000 7.50000000 
57.43840000 0.55130900 7.50000000 
60.36090000 7.88538000 7.50000000 
59.63750000 6.66582000 7.50000000 
60.33200000 5.42956000 7.50000000 
59.60860000 4.20999000 7.50000000 
60.30300000 2.97373000 7.50000000 
59.57960000 1.75416000 7.50000000 
60.27410000 0.51789600 7.50000000 
61.77880000 7.86868000 7.50000000 
62.47330000 6.63241000 7.50000000 
61.74990000 5.41285000 7.50000000 
62.44430000 4.17658000 7.50000000 
61.72090000 2.95702000 7.50000000 
62.41540000 1.72075000 7.50000000 
61.69200000 0.50119000 7.50000000 
64.61450000 7.83527000 7.50000000 
63.89110000 6.61570000 7.50000000 
64.58560000 5.37944000 7.50000000 
63.86220000 4.15987000 7.50000000 
64.55670000 2.92361000 7.50000000 
63.83330000 1.70404000 7.50000000 
64.52770000 0.46777700 7.50000000 
66.03240000 7.81856000 7.50000000 
66.00350000 5.36273000 7.50000000 
65.97450000 2.90690000 7.50000000 
65.94560000 0.45107100 7.50000000 
66.72690000 6.58229000 7.50000000 
66.69790000 4.12646000 7.50000000 
66.66900000 1.67063000 7.50000000 
68.17370000 9.02141000 7.50000000 
68.86820000 7.78515000 7.50000000 
68.14480000 6.56559000 7.50000000 
68.83920000 5.32932000 7.50000000 
68.11580000 4.10976000 7.50000000 
68.81030000 2.87349000 7.50000000 
68.08690000 1.65393000 7.50000000 
68.78130000 0.41765800 7.50000000 
71.00940000 8.98800000 7.50000000 
70.28600000 7.76844000 7.50000000 
70.98050000 6.53217000 7.50000000 
70.25710000 5.31261000 7.50000000 
70.95160000 4.07634000 7.50000000 
70.22820000 2.85678000 7.50000000 
70.92260000 1.62051000 7.50000000 
70.19920000 0.40095200 7.50000000 
72.42730000 8.97130000 7.50000000 
73.12180000 7.73503000 7.50000000 
72.39840000 6.51547000 7.50000000 
73.09280000 5.27920000 7.50000000 
72.36940000 4.05964000 7.50000000 
73.06390000 2.82337000 7.50000000 
72.34050000 1.60381000 7.50000000 
73.03500000 0.36753900 7.50000000 
75.26310000 8.93788000 7.50000000 
74.53970000 7.71832000 7.50000000 
75.23410000 6.48205000 7.50000000 
74.51070000 5.26249000 7.50000000 
75.20520000 4.02622000 7.50000000 
74.48180000 2.80666000 7.50000000 
75.17620000 1.57039000 7.50000000 
74.45280000 0.35083300 7.50000000 
76.68090000 8.92118000 7.50000000 
77.37540000 7.68491000 7.50000000 
76.65200000 6.46535000 7.50000000 
77.34650000 5.22908000 7.50000000 
76.62310000 4.00952000 7.50000000 
77.31750000 2.77325000 7.50000000 
76.59410000 1.55369000 7.50000000 
77.28860000 0.31742000 7.50000000 
79.51670000 8.88776000 7.50000000 
78.79330000 7.66820000 7.50000000 
79.48770000 6.43193000 7.50000000 
78.76430000 5.21237000 7.50000000 
79.45880000 3.97610000 7.50000000 
78.73540000 2.75654000 7.50000000 
79.42990000 1.52028000 7.50000000 
78.70650000 0.30071400 7.50000000 
80.93460000 8.87106000 7.50000000 
81.62900000 7.63479000 7.50000000 
80.90560000 6.41523000 7.50000000 
81.60010000 5.17896000 7.50000000 
80.87670000 3.95940000 7.50000000 
81.57120000 2.72313000 7.50000000 
80.84770000 1.50357000 7.50000000 
81.54220000 0.26730100 7.50000000 
83.77030000 8.83765000 7.50000000 
83.04690000 7.61808000 7.50000000 
83.74140000 6.38182000 7.50000000 
83.01800000 5.16225000 7.50000000 
83.71240000 3.92599000 7.50000000 
82.98900000 2.70642000 7.50000000 
83.68350000 1.47016000 7.50000000 
82.96010000 0.25059500 7.50000000 
85.18820000 8.82094000 7.50000000 
85.15920000 6.36511000 7.50000000 
85.13030000 3.90928000 7.50000000 
85.10140000 1.45345000 7.50000000 
85.88260000 7.58467000 7.50000000 
85.85370000 5.12884000 7.50000000 
85.82480000 2.67301000 7.50000000 
85.79580000 0.21718200 7.50000000 
88.02390000 8.78753000 7.50000000 
87.30050000 7.56796000 7.50000000 
87.99500000 6.33170000 7.50000000 
87.27160000 5.11213000 7.50000000 
87.96610000 3.87587000 7.50000000 
87.24260000 2.65631000 7.50000000 
87.93710000 1.42004000 7.50000000 
87.21370000 0.20047600 7.50000000 
89.44180000 8.77082000 7.50000000 
90.13630000 7.53455000 7.50000000 
89.41290000 6.31499000 7.50000000 
90.10730000 5.07872000 7.50000000 
89.38390000 3.85916000 7.50000000 
90.07840000 2.62289000 7.50000000 
89.35500000 1.40333000 7.50000000 
90.04950000 0.16706300 7.50000000 
92.27750000 8.73741000 7.50000000 
91.55410000 7.51785000 7.50000000 
92.24860000 6.28158000 7.50000000 
91.52520000 5.06202000 7.50000000 
92.21970000 3.82575000 7.50000000 
91.49630000 2.60619000 7.50000000 
92.19070000 1.36992000 7.50000000 
91.46730000 0.15035700 7.50000000 
93.69540000 8.72070000 7.50000000 
94.38990000 7.48443000 7.50000000 
93.66650000 6.26487000 7.50000000 
94.36100000 5.02860000 7.50000000 
93.63750000 3.80904000 7.50000000 
94.33200000 2.57277000 7.50000000 
93.60860000 1.35321000 7.50000000 
94.30310000 0.11694400 7.50000000 
96.53120000 8.68729000 7.50000000 
95.80780000 7.46773000 7.50000000 
96.50220000 6.23146000 7.50000000 
95.77880000 5.01190000 7.50000000 
96.47330000 3.77563000 7.50000000 
95.74990000 2.55607000 7.50000000 
96.44440000 1.31980000 7.50000000 
95.72100000 0.10023800 7.50000000 
97.94900000 8.67058000 7.50000000 
98.64350000 7.43431000 7.50000000 
97.92010000 6.21475000 7.50000000 
98.61460000 4.97848000 7.50000000 
97.89120000 3.75892000 7.50000000 
98.58560000 2.52265000 7.50000000 
97.86220000 1.30309000 7.50000000 
98.55670000 0.06682530 7.50000000 
100.78500000 8.63717000 7.50000000 
100.06100000 7.41761000 7.50000000 
100.75600000 6.18134000 7.50000000 
100.03200000 4.96178000 7.50000000 
100.72700000 3.72551000 7.50000000 
100.00400000 2.50595000 7.50000000 
100.69800000 1.26968000 7.50000000 
99.97460000 0.05011900 7.50000000 
102.20300000 8.62046000 7.50000000 
102.89700000 7.38419000 7.50000000 
102.17400000 6.16463000 7.50000000 
102.86800000 4.92837000 7.50000000 
102.14500000 3.70880000 7.50000000 
102.83900000 2.47254000 7.50000000 
102.11600000 1.25297000 7.50000000 
102.81000000 0.01670630 7.50000000 
7.23405000 12.19560000 7.50000000 
6.51065000 10.97610000 7.50000000 
7.20511000 9.73979000 7.50000000 
9.40427000 15.85430000 7.50000000 
8.68086000 14.63470000 7.50000000 
9.37533000 13.39850000 7.50000000 
8.65192000 12.17890000 7.50000000 
9.34639000 10.94260000 7.50000000 
8.62299000 9.72308000 7.50000000 
11.54550000 17.05720000 7.50000000 
10.82210000 15.83760000 7.50000000 
11.51660000 14.60130000 7.50000000 
10.79320000 13.38180000 7.50000000 
11.48770000 12.14550000 7.50000000 
10.76430000 10.92590000 7.50000000 
11.45870000 9.68967000 7.50000000 
12.96340000 17.04040000 7.50000000 
13.65790000 15.80420000 7.50000000 
12.93450000 14.58460000 7.50000000 
13.62900000 13.34840000 7.50000000 
12.90550000 12.12880000 7.50000000 
13.60000000 10.89250000 7.50000000 
12.87660000 9.67296000 7.50000000 
15.79920000 17.00700000 7.50000000 
15.07580000 15.78750000 7.50000000 
15.77020000 14.55120000 7.50000000 
15.04680000 13.33160000 7.50000000 
15.74130000 12.09540000 7.50000000 
15.01790000 10.87580000 7.50000000 
15.71240000 9.63955000 7.50000000 
17.21700000 16.99030000 7.50000000 
17.91150000 15.75410000 7.50000000 
17.18810000 14.53450000 7.50000000 
17.88260000 13.29820000 7.50000000 
17.15920000 12.07870000 7.50000000 
17.85360000 10.84240000 7.50000000 
17.13020000 9.62284000 7.50000000 
20.05280000 16.95690000 7.50000000 
19.32940000 15.73740000 7.50000000 
20.02390000 14.50110000 7.50000000 
19.30040000 13.28150000 7.50000000 
19.99490000 12.04530000 7.50000000 
19.27150000 10.82570000 7.50000000 
19.96600000 9.58943000 7.50000000 
21.47070000 16.94020000 7.50000000 
22.16510000 15.70390000 7.50000000 
21.44170000 14.48440000 7.50000000 
22.13620000 13.24810000 7.50000000 
21.41280000 12.02860000 7.50000000 
22.10730000 10.79230000 7.50000000 
21.38390000 9.57272000 7.50000000 
24.30640000 16.90680000 7.50000000 
23.58300000 15.68720000 7.50000000 
24.27750000 14.45100000 7.50000000 
23.55410000 13.23140000 7.50000000 
24.24850000 11.99510000 7.50000000 
23.52510000 10.77560000 7.50000000 
24.21960000 9.53931000 7.50000000 
25.72430000 16.89010000 7.50000000 
26.41880000 15.65380000 7.50000000 
25.69530000 14.43430000 7.50000000 
26.38980000 13.19800000 7.50000000 
25.66640000 11.97840000 7.50000000 
26.36090000 10.74220000 7.50000000 
25.63750000 9.52260000 7.50000000 
27.83660000 15.63710000 7.50000000 
27.80770000 13.18130000 7.50000000 
27.77880000 10.72550000 7.50000000 
28.56000000 16.85670000 7.50000000 
28.53110000 14.40090000 7.50000000 
28.50220000 11.94500000 7.50000000 
28.47320000 9.48919000 7.50000000 
29.97790000 16.84000000 7.50000000 
30.67240000 15.60370000 7.50000000 
29.94900000 14.38410000 7.50000000 
30.64340000 13.14790000 7.50000000 
29.92000000 11.92830000 7.50000000 
30.61450000 10.69200000 7.50000000 
29.89110000 9.47249000 7.50000000 
32.11920000 18.04280000 7.50000000 
32.81370000 16.80660000 7.50000000 
32.09020000 15.58700000 7.50000000 
32.78470000 14.35070000 7.50000000 
32.06130000 13.13120000 7.50000000 
32.75580000 11.89490000 7.50000000 
32.03240000 10.67530000 7.50000000 
32.72680000 9.43907000 7.50000000 
34.95490000 18.00940000 7.50000000 
34.23150000 16.78990000 7.50000000 
34.92600000 15.55360000 7.50000000 
34.20260000 14.33400000 7.50000000 
34.89710000 13.09780000 7.50000000 
34.17370000 11.87820000 7.50000000 
34.86810000 10.64190000 7.50000000 
34.14470000 9.42237000 7.50000000 
36.37280000 17.99270000 7.50000000 
37.06730000 16.75640000 7.50000000 
36.34390000 15.53690000 7.50000000 
37.03830000 14.30060000 7.50000000 
36.31490000 13.08110000 7.50000000 
37.00940000 11.84480000 7.50000000 
36.28600000 10.62520000 7.50000000 
36.98050000 9.38895000 7.50000000 
39.20860000 17.95930000 7.50000000 
38.48510000 16.73970000 7.50000000 
39.17960000 15.50350000 7.50000000 
38.45620000 14.28390000 7.50000000 
39.15070000 13.04760000 7.50000000 
38.42730000 11.82810000 7.50000000 
39.12170000 10.59180000 7.50000000 
38.39830000 9.37225000 7.50000000 
40.62640000 17.94260000 7.50000000 
41.32090000 16.70630000 7.50000000 
40.59750000 15.48680000 7.50000000 
41.29200000 14.25050000 7.50000000 
40.56860000 13.03090000 7.50000000 
41.26300000 11.79470000 7.50000000 
40.53960000 10.57510000 7.50000000 
41.23410000 9.33883000 7.50000000 
43.46220000 17.90920000 7.50000000 
42.73880000 16.68960000 7.50000000 
43.43320000 15.45330000 7.50000000 
42.70980000 14.23380000 7.50000000 
43.40430000 12.99750000 7.50000000 
42.68090000 11.77800000 7.50000000 
43.37540000 10.54170000 7.50000000 
42.65200000 9.32213000 7.50000000 
44.88000000 17.89250000 7.50000000 
45.57450000 16.65620000 7.50000000 
44.85110000 15.43660000 7.50000000 
45.54560000 14.20040000 7.50000000 
44.82220000 12.98080000 7.50000000 
45.51660000 11.74450000 7.50000000 
44.79320000 10.52500000 7.50000000 
45.48770000 9.28872000 7.50000000 
46.99240000 16.63950000 7.50000000 
46.96350000 14.18370000 7.50000000 
46.93450000 11.72780000 7.50000000 
46.90560000 9.27201000 7.50000000 
47.71580000 17.85910000 7.50000000 
47.68690000 15.40320000 7.50000000 
47.65790000 12.94740000 7.50000000 
47.62900000 10.49160000 7.50000000 
49.13370000 17.84240000 7.50000000 
49.82810000 16.60610000 7.50000000 
49.10470000 15.38650000 7.50000000 
49.79920000 14.15030000 7.50000000 
49.07580000 12.93070000 7.50000000 
49.77030000 11.69440000 7.50000000 
49.04690000 10.47490000 7.50000000 
49.74130000 9.23860000 7.50000000 
51.96940000 17.80890000 7.50000000 
51.24600000 16.58940000 7.50000000 
51.94050000 15.35310000 7.50000000 
51.21710000 14.13350000 7.50000000 
51.91150000 12.89730000 7.50000000 
51.18810000 11.67770000 7.50000000 
51.88260000 10.44150000 7.50000000 
51.15920000 9.22189000 7.50000000 
53.38730000 17.79220000 7.50000000 
54.08180000 16.55600000 7.50000000 
53.35840000 15.33640000 7.50000000 
54.05280000 14.10010000 7.50000000 
53.32940000 12.88060000 7.50000000 
54.02390000 11.64430000 7.50000000 
53.30050000 10.42470000 7.50000000 
53.99500000 9.18848000 7.50000000 
56.22300000 17.75880000 7.50000000 
55.49960000 16.53930000 7.50000000 
56.19410000 15.30300000 7.50000000 
55.47070000 14.08340000 7.50000000 
56.16520000 12.84720000 7.50000000 
55.44180000 11.62760000 7.50000000 
56.13620000 10.39130000 7.50000000 
55.41280000 9.17177000 7.50000000 
57.64090000 17.74210000 7.50000000 
58.33540000 16.50580000 7.50000000 
57.61200000 15.28630000 7.50000000 
58.30640000 14.05000000 7.50000000 
57.58300000 12.83050000 7.50000000 
58.27750000 11.59420000 7.50000000 
57.55410000 10.37460000 7.50000000 
58.24860000 9.13836000 7.50000000 
60.47670000 17.70870000 7.50000000 
59.75330000 16.48910000 7.50000000 
60.44770000 15.25290000 7.50000000 
59.72430000 14.03330000 7.50000000 
60.41880000 12.79700000 7.50000000 
59.69540000 11.57750000 7.50000000 
60.38990000 10.34120000 7.50000000 
59.66640000 9.12165000 7.50000000 
61.89450000 17.69200000 7.50000000 
62.58900000 16.45570000 7.50000000 
61.86560000 15.23620000 7.50000000 
62.56010000 13.99990000 7.50000000 
61.83670000 12.78030000 7.50000000 
62.53110000 11.54410000 7.50000000 
61.80770000 10.32450000 7.50000000 
62.50220000 9.08824000 7.50000000 
64.73030000 17.65860000 7.50000000 
64.00690000 16.43900000 7.50000000 
64.70130000 15.20280000 7.50000000 
63.97790000 13.98320000 7.50000000 
64.67240000 12.74690000 7.50000000 
63.94900000 11.52740000 7.50000000 
64.64350000 10.29110000 7.50000000 
63.92010000 9.07153000 7.50000000 
66.14820000 17.64190000 7.50000000 
66.11920000 15.18600000 7.50000000 
66.09030000 12.73020000 7.50000000 
66.06130000 10.27440000 7.50000000 
66.84260000 16.40560000 7.50000000 
66.81370000 13.94980000 7.50000000 
66.78480000 11.49400000 7.50000000 
