written by TR 
1.000000000 
99.974584900 0.000000000 0.000000000 
0.000000000 173.161060000 0.000000000 
0.000000000 0.000000000 18.400000000 
Type1 
13256
Cartesian 
0.81451800 8.58664000 7.50000000 
0.09050200 7.36744000 7.50000000 
0.78435100 6.13083000 7.50000000 
0.06033470 4.91163000 7.50000000 
0.75418400 3.67501000 7.50000000 
0.03016730 2.45581000 7.50000000 
0.72401600 1.21920000 7.50000000 
0.00000000 0.00000000 7.50000000 
2.23238000 8.56923000 7.50000000 
2.92623000 7.33261000 7.50000000 
2.20222000 6.11341000 7.50000000 
2.89607000 4.87680000 7.50000000 
2.17205000 3.65760000 7.50000000 
2.86590000 2.42098000 7.50000000 
2.14188000 1.20178000 7.50000000 
5.06811000 8.53439000 7.50000000 
4.34410000 7.31519000 7.50000000 
5.03795000 6.07858000 7.50000000 
4.31393000 4.85938000 7.50000000 
5.00778000 3.62276000 7.50000000 
4.28376000 2.40356000 7.50000000 
4.97761000 1.16695000 7.50000000 
6.48598000 8.51697000 7.50000000 
7.17983000 7.28036000 7.50000000 
6.45581000 6.06116000 7.50000000 
7.14966000 4.82454000 7.50000000 
6.42564000 3.60535000 7.50000000 
7.11949000 2.36873000 7.50000000 
6.39548000 1.14953000 7.50000000 
8.59769000 7.26294000 7.50000000 
8.56753000 4.80713000 7.50000000 
8.53736000 2.35131000 7.50000000 
9.32171000 8.48214000 7.50000000 
9.29154000 6.02633000 7.50000000 
9.26138000 3.57051000 7.50000000 
9.23121000 1.11470000 7.50000000 
10.73960000 8.46472000 7.50000000 
11.43340000 7.22811000 7.50000000 
10.70940000 6.00891000 7.50000000 
11.40330000 4.77229000 7.50000000 
10.67920000 3.55309000 7.50000000 
11.37310000 2.31648000 7.50000000 
10.64910000 1.09728000 7.50000000 
13.57530000 8.42989000 7.50000000 
12.85130000 7.21069000 7.50000000 
13.54510000 5.97407000 7.50000000 
12.82110000 4.75488000 7.50000000 
13.51500000 3.51826000 7.50000000 
12.79100000 2.29906000 7.50000000 
13.48480000 1.06244000 7.50000000 
14.99320000 8.41247000 7.50000000 
15.68700000 7.17586000 7.50000000 
14.96300000 5.95666000 7.50000000 
15.65690000 4.72004000 7.50000000 
14.93280000 3.50084000 7.50000000 
15.62670000 2.26423000 7.50000000 
14.90270000 1.04503000 7.50000000 
17.13510000 9.61425000 7.50000000 
17.82890000 8.37764000 7.50000000 
17.10490000 7.15844000 7.50000000 
17.79870000 5.92182000 7.50000000 
17.07470000 4.70262000 7.50000000 
17.76860000 3.46601000 7.50000000 
17.04460000 2.24681000 7.50000000 
17.73840000 1.01019000 7.50000000 
19.97080000 9.57942000 7.50000000 
19.24680000 8.36022000 7.50000000 
19.94060000 7.12360000 7.50000000 
19.21660000 5.90441000 7.50000000 
19.91040000 4.66779000 7.50000000 
19.18640000 3.44859000 7.50000000 
19.88030000 2.21197000 7.50000000 
19.15630000 0.99277600 7.50000000 
21.38860000 9.56200000 7.50000000 
22.08250000 8.32539000 7.50000000 
21.35850000 7.10619000 7.50000000 
22.05230000 5.86957000 7.50000000 
21.32830000 4.65037000 7.50000000 
22.02220000 3.41376000 7.50000000 
21.29810000 2.19456000 7.50000000 
21.99200000 0.95794200 7.50000000 
24.22440000 9.52717000 7.50000000 
23.50040000 8.30797000 7.50000000 
24.19420000 7.07135000 7.50000000 
23.47020000 5.85215000 7.50000000 
24.16400000 4.61554000 7.50000000 
23.44000000 3.39634000 7.50000000 
24.13390000 2.15972000 7.50000000 
23.40990000 0.94052500 7.50000000 
25.64220000 9.50975000 7.50000000 
26.33610000 8.27313000 7.50000000 
25.61210000 7.05394000 7.50000000 
26.30590000 5.81732000 7.50000000 
25.58190000 4.59812000 7.50000000 
26.27580000 3.36151000 7.50000000 
25.55170000 2.14231000 7.50000000 
26.24560000 0.90569100 7.50000000 
28.47800000 9.47492000 7.50000000 
27.75400000 8.25572000 7.50000000 
28.44780000 7.01910000 7.50000000 
27.72380000 5.79990000 7.50000000 
28.41760000 4.56329000 7.50000000 
27.69360000 3.34409000 7.50000000 
28.38750000 2.10747000 7.50000000 
27.66350000 0.88827300 7.50000000 
29.89580000 9.45750000 7.50000000 
30.58970000 8.22088000 7.50000000 
29.86570000 7.00168000 7.50000000 
30.55950000 5.76507000 7.50000000 
29.83550000 4.54587000 7.50000000 
30.52940000 3.30925000 7.50000000 
29.80530000 2.09006000 7.50000000 
30.49920000 0.85343900 7.50000000 
32.73160000 9.42266000 7.50000000 
32.00760000 8.20347000 7.50000000 
32.70140000 6.96685000 7.50000000 
31.97740000 5.74765000 7.50000000 
32.67120000 4.51104000 7.50000000 
31.94720000 3.29184000 7.50000000 
32.64110000 2.05522000 7.50000000 
31.91710000 0.83602200 7.50000000 
34.14940000 9.40525000 7.50000000 
34.84330000 8.16863000 7.50000000 
34.11930000 6.94943000 7.50000000 
34.81310000 5.71282000 7.50000000 
34.08910000 4.49362000 7.50000000 
34.78300000 3.25700000 7.50000000 
34.05890000 2.03780000 7.50000000 
34.75280000 0.80118800 7.50000000 
36.26120000 8.15121000 7.50000000 
36.23100000 5.69540000 7.50000000 
36.20080000 3.23959000 7.50000000 
36.17060000 0.78377100 7.50000000 
36.98520000 9.37041000 7.50000000 
36.95500000 6.91460000 7.50000000 
36.92480000 4.45878000 7.50000000 
36.89470000 2.00297000 7.50000000 
38.40300000 9.35300000 7.50000000 
39.09690000 8.11638000 7.50000000 
38.37290000 6.89718000 7.50000000 
39.06670000 5.66057000 7.50000000 
38.34270000 4.44137000 7.50000000 
39.03650000 3.20475000 7.50000000 
38.31250000 1.98555000 7.50000000 
39.00640000 0.74893600 7.50000000 
41.23880000 9.31816000 7.50000000 
40.51470000 8.09896000 7.50000000 
41.20860000 6.86235000 7.50000000 
40.48460000 5.64315000 7.50000000 
41.17840000 4.40653000 7.50000000 
40.45440000 3.18733000 7.50000000 
41.14830000 1.95072000 7.50000000 
40.42420000 0.73151900 7.50000000 
42.65660000 9.30075000 7.50000000 
43.35050000 8.06413000 7.50000000 
42.62650000 6.84493000 7.50000000 
43.32030000 5.60831000 7.50000000 
42.59630000 4.38912000 7.50000000 
43.29010000 3.15250000 7.50000000 
42.56610000 1.93330000 7.50000000 
43.26000000 0.69668500 7.50000000 
44.76830000 8.04671000 7.50000000 
44.73820000 5.59090000 7.50000000 
45.43200000 4.35428000 7.50000000 
44.70800000 3.13508000 7.50000000 
45.40190000 1.89847000 7.50000000 
44.67780000 0.67926800 7.50000000 
45.49240000 9.26591000 7.50000000 
45.46220000 6.81010000 7.50000000 
46.91020000 9.24849000 7.50000000 
47.60410000 8.01188000 7.50000000 
46.88010000 6.79268000 7.50000000 
47.57390000 5.55606000 7.50000000 
46.84990000 4.33686000 7.50000000 
47.54370000 3.10025000 7.50000000 
46.81970000 1.88105000 7.50000000 
47.51360000 0.64443400 7.50000000 
49.74600000 9.21366000 7.50000000 
49.02190000 7.99446000 7.50000000 
49.71580000 6.75784000 7.50000000 
48.99180000 5.53865000 7.50000000 
49.68560000 4.30203000 7.50000000 
48.96160000 3.08283000 7.50000000 
49.65550000 1.84622000 7.50000000 
48.93140000 0.62701700 7.50000000 
51.16380000 9.19624000 7.50000000 
51.85770000 7.95963000 7.50000000 
51.13370000 6.74043000 7.50000000 
51.82750000 5.50381000 7.50000000 
51.10350000 4.28461000 7.50000000 
51.79730000 3.04800000 7.50000000 
51.07330000 1.82880000 7.50000000 
51.76720000 0.59218200 7.50000000 
53.99960000 9.16141000 7.50000000 
53.27550000 7.94221000 7.50000000 
53.96940000 6.70559000 7.50000000 
53.24540000 5.48639000 7.50000000 
53.93920000 4.24978000 7.50000000 
53.21520000 3.03058000 7.50000000 
53.90900000 1.79396000 7.50000000 
53.18500000 0.57476500 7.50000000 
55.41740000 9.14399000 7.50000000 
56.11130000 7.90738000 7.50000000 
55.38720000 6.68818000 7.50000000 
56.08110000 5.45156000 7.50000000 
55.35710000 4.23236000 7.50000000 
56.05090000 2.99575000 7.50000000 
55.32690000 1.77655000 7.50000000 
56.02080000 0.53993100 7.50000000 
58.25310000 9.10916000 7.50000000 
57.52910000 7.88996000 7.50000000 
58.22300000 6.65334000 7.50000000 
57.49900000 5.43414000 7.50000000 
58.19280000 4.19753000 7.50000000 
57.46880000 2.97833000 7.50000000 
58.16260000 1.74171000 7.50000000 
57.43860000 0.52251400 7.50000000 
59.67100000 9.09174000 7.50000000 
60.36490000 7.85512000 7.50000000 
59.64080000 6.63592000 7.50000000 
60.33470000 5.39931000 7.50000000 
59.61070000 4.18011000 7.50000000 
60.30450000 2.94349000 7.50000000 
59.58050000 1.72430000 7.50000000 
60.27440000 0.48768000 7.50000000 
62.50670000 9.05691000 7.50000000 
61.78270000 7.83771000 7.50000000 
62.47660000 6.60109000 7.50000000 
61.75260000 5.38189000 7.50000000 
62.44640000 4.14528000 7.50000000 
61.72240000 2.92608000 7.50000000 
62.41620000 1.68946000 7.50000000 
61.69220000 0.47026200 7.50000000 
63.92460000 9.03949000 7.50000000 
64.61850000 7.80287000 7.50000000 
63.89440000 6.58367000 7.50000000 
64.58830000 5.34706000 7.50000000 
63.86430000 4.12786000 7.50000000 
64.55810000 2.89124000 7.50000000 
63.83410000 1.67204000 7.50000000 
64.52800000 0.43542800 7.50000000 
66.76030000 9.00465000 7.50000000 
66.03630000 7.78546000 7.50000000 
66.73020000 6.54884000 7.50000000 
66.00620000 5.32964000 7.50000000 
66.70000000 4.09302000 7.50000000 
65.97600000 2.87383000 7.50000000 
66.66980000 1.63721000 7.50000000 
65.94580000 0.41801100 7.50000000 
68.17820000 8.98724000 7.50000000 
68.87210000 7.75062000 7.50000000 
68.14800000 6.53142000 7.50000000 
68.84190000 5.29481000 7.50000000 
68.11790000 4.07561000 7.50000000 
68.81170000 2.83899000 7.50000000 
68.08770000 1.61979000 7.50000000 
68.78160000 0.38317700 7.50000000 
71.01390000 8.95240000 7.50000000 
70.28990000 7.73320000 7.50000000 
70.98380000 6.49659000 7.50000000 
70.25980000 5.27739000 7.50000000 
70.95360000 4.04077000 7.50000000 
70.22960000 2.82157000 7.50000000 
70.92340000 1.58496000 7.50000000 
70.19940000 0.36576000 7.50000000 
72.43180000 8.93499000 7.50000000 
72.40160000 6.47917000 7.50000000 
72.37150000 4.02336000 7.50000000 
72.34130000 1.56754000 7.50000000 
73.12560000 7.69837000 7.50000000 
73.09550000 5.24255000 7.50000000 
73.06530000 2.78674000 7.50000000 
73.03510000 0.33092500 7.50000000 
75.26750000 8.90015000 7.50000000 
74.54350000 7.68095000 7.50000000 
75.23740000 6.44434000 7.50000000 
74.51330000 5.22514000 7.50000000 
75.20720000 3.98852000 7.50000000 
74.48320000 2.76932000 7.50000000 
75.17700000 1.53271000 7.50000000 
74.45300000 0.31350800 7.50000000 
76.68540000 8.88273000 7.50000000 
77.37920000 7.64612000 7.50000000 
76.65520000 6.42692000 7.50000000 
77.34910000 5.19030000 7.50000000 
76.62510000 3.97110000 7.50000000 
77.31890000 2.73449000 7.50000000 
76.59490000 1.51529000 7.50000000 
77.28870000 0.27867400 7.50000000 
79.52110000 8.84790000 7.50000000 
78.79710000 7.62870000 7.50000000 
79.49100000 6.39209000 7.50000000 
78.76690000 5.17289000 7.50000000 
79.46080000 3.93627000 7.50000000 
78.73680000 2.71707000 7.50000000 
79.43060000 1.48046000 7.50000000 
78.70660000 0.26125700 7.50000000 
80.93900000 8.83048000 7.50000000 
81.63280000 7.59387000 7.50000000 
80.90880000 6.37467000 7.50000000 
81.60270000 5.13805000 7.50000000 
80.87870000 3.91885000 7.50000000 
81.57250000 2.68224000 7.50000000 
80.84850000 1.46304000 7.50000000 
81.54230000 0.22642300 7.50000000 
83.77470000 8.79565000 7.50000000 
83.05070000 7.57645000 7.50000000 
83.74460000 6.33983000 7.50000000 
83.02050000 5.12063000 7.50000000 
83.71440000 3.88402000 7.50000000 
82.99040000 2.66482000 7.50000000 
83.68420000 1.42820000 7.50000000 
82.96020000 0.20900500 7.50000000 
85.19260000 8.77823000 7.50000000 
85.88640000 7.54162000 7.50000000 
85.16240000 6.32242000 7.50000000 
85.85630000 5.08580000 7.50000000 
85.13230000 3.86660000 7.50000000 
85.82610000 2.62999000 7.50000000 
85.10210000 1.41079000 7.50000000 
85.79590000 0.17417100 7.50000000 
88.02830000 8.74340000 7.50000000 
87.30430000 7.52420000 7.50000000 
87.99810000 6.28758000 7.50000000 
87.27410000 5.06838000 7.50000000 
87.96800000 3.83177000 7.50000000 
87.24400000 2.61257000 7.50000000 
87.93780000 1.37595000 7.50000000 
87.21380000 0.15675400 7.50000000 
89.44620000 8.72598000 7.50000000 
90.14000000 7.48936000 7.50000000 
89.41600000 6.27017000 7.50000000 
90.10990000 5.03355000 7.50000000 
89.38580000 3.81435000 7.50000000 
90.07970000 2.57773000 7.50000000 
89.35570000 1.35854000 7.50000000 
90.04950000 0.12192000 7.50000000 
92.28190000 8.69115000 7.50000000 
91.55790000 7.47195000 7.50000000 
92.25170000 6.23533000 7.50000000 
91.52770000 5.01613000 7.50000000 
92.22160000 3.77952000 7.50000000 
91.49760000 2.56032000 7.50000000 
92.19140000 1.32370000 7.50000000 
91.46740000 0.10450300 7.50000000 
93.69980000 8.67373000 7.50000000 
94.39360000 7.43711000 7.50000000 
93.66960000 6.21791000 7.50000000 
94.36350000 4.98130000 7.50000000 
93.63940000 3.76210000 7.50000000 
94.33330000 2.52548000 7.50000000 
93.60930000 1.30628000 7.50000000 
94.30310000 0.06966850 7.50000000 
96.53550000 8.63889000 7.50000000 
95.81150000 7.41970000 7.50000000 
96.50530000 6.18308000 7.50000000 
95.78130000 4.96388000 7.50000000 
96.47520000 3.72726000 7.50000000 
95.75120000 2.50807000 7.50000000 
96.44500000 1.27145000 7.50000000 
95.72100000 0.05225140 7.50000000 
97.95340000 8.62148000 7.50000000 
98.64720000 7.38486000 7.50000000 
97.92320000 6.16566000 7.50000000 
98.61710000 4.92905000 7.50000000 
97.89300000 3.70985000 7.50000000 
98.58690000 2.47323000 7.50000000 
97.86290000 1.25403000 7.50000000 
98.55670000 0.01741710 7.50000000 
0.93518800 18.40990000 7.50000000 
0.21117100 17.19070000 7.50000000 
0.90502000 15.95410000 7.50000000 
0.18100400 14.73490000 7.50000000 
0.87485300 13.49830000 7.50000000 
0.15083700 12.27910000 7.50000000 
0.84468600 11.04250000 7.50000000 
0.12066900 9.82326000 7.50000000 
2.35305000 18.39250000 7.50000000 
3.04690000 17.15590000 7.50000000 
2.32289000 15.93670000 7.50000000 
3.01673000 14.70010000 7.50000000 
2.29272000 13.48090000 7.50000000 
2.98657000 12.24420000 7.50000000 
2.26255000 11.02500000 7.50000000 
2.95640000 9.78842000 7.50000000 
5.18878000 18.35770000 7.50000000 
4.46477000 17.13850000 7.50000000 
5.15862000 15.90180000 7.50000000 
4.43460000 14.68260000 7.50000000 
5.12845000 13.44600000 7.50000000 
4.40443000 12.22680000 7.50000000 
5.09828000 10.99020000 7.50000000 
4.37427000 9.77101000 7.50000000 
6.60665000 18.34020000 7.50000000 
7.30050000 17.10360000 7.50000000 
6.57648000 15.88440000 7.50000000 
7.27033000 14.64780000 7.50000000 
6.54631000 13.42860000 7.50000000 
7.24016000 12.19200000 7.50000000 
6.51615000 10.97280000 7.50000000 
7.21000000 9.73617000 7.50000000 
8.71836000 17.08620000 7.50000000 
8.68820000 14.63040000 7.50000000 
8.65803000 12.17460000 7.50000000 
8.62786000 9.71876000 7.50000000 
9.44238000 18.30540000 7.50000000 
9.41221000 15.84960000 7.50000000 
9.38204000 13.39380000 7.50000000 
9.35188000 10.93800000 7.50000000 
10.86020000 18.28800000 7.50000000 
11.55410000 17.05140000 7.50000000 
10.83010000 15.83220000 7.50000000 
11.52390000 14.59560000 7.50000000 
10.79990000 13.37640000 7.50000000 
11.49380000 12.13970000 7.50000000 
10.76970000 10.92050000 7.50000000 
11.46360000 9.68392000 7.50000000 
13.69600000 18.25310000 7.50000000 
12.97200000 17.03390000 7.50000000 
13.66580000 15.79730000 7.50000000 
12.94180000 14.57810000 7.50000000 
13.63560000 13.34150000 7.50000000 
12.91160000 12.12230000 7.50000000 
13.60550000 10.88570000 7.50000000 
12.88150000 9.66650000 7.50000000 
15.11380000 18.23570000 7.50000000 
15.80770000 16.99910000 7.50000000 
15.08370000 15.77990000 7.50000000 
15.77750000 14.54330000 7.50000000 
15.05350000 13.32410000 7.50000000 
15.74740000 12.08750000 7.50000000 
15.02330000 10.86830000 7.50000000 
15.71720000 9.63167000 7.50000000 
17.94960000 18.20090000 7.50000000 
17.22560000 16.98170000 7.50000000 
17.91940000 15.74510000 7.50000000 
17.19540000 14.52590000 7.50000000 
17.88920000 13.28930000 7.50000000 
17.16520000 12.07010000 7.50000000 
17.85910000 10.83350000 7.50000000 
19.36740000 18.18350000 7.50000000 
